Name,Extension,Size (Bytes),Size (KB),Size (MB),Parent Folder,Absolute Path,Created,Modified,Review Category
b-format.pdf,.pdf,1220279,1191.68,1.16,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\b-format.pdf,2026-07-19 01:58:40,2026-07-19 01:58:41,Normal
dataset.xml,.xml,187438,183.04,0.18,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\dataset.xml,2026-07-19 01:56:42,2026-07-19 01:56:42,Normal
drylab.pdf,.pdf,1377202,1344.92,1.31,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\drylab.pdf,2026-07-19 01:57:50,2026-07-19 01:57:50,Normal
example.pdf,.pdf,351048,342.82,0.33,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\example.pdf,2026-07-19 01:57:59,2026-07-19 01:57:59,Normal
index (1).pdf,.pdf,97660,95.37,0.09,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\index (1).pdf,2026-07-19 01:58:05,2026-07-19 01:58:05,Normal
index.pdf,.pdf,24943,24.36,0.02,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\index.pdf,2026-07-19 01:57:33,2026-07-19 01:57:33,Normal
invoicesample.pdf,.pdf,149568,146.06,0.14,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\invoicesample.pdf,2026-07-19 01:57:26,2026-07-19 01:57:26,Normal
magic.pdf,.pdf,79007,77.16,0.08,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\magic.pdf,2026-07-19 01:58:30,2026-07-19 01:58:30,Normal
MOCK_DATA,,121848,118.99,0.12,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA,2026-07-19 01:56:30,2026-07-19 01:56:30,Normal
MOCK_DATA (1).json,.json,158640,154.92,0.15,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA (1).json,2026-07-19 01:56:23,2026-07-19 01:56:23,Normal
MOCK_DATA (1).txt,.txt,62328,60.87,0.06,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA (1).txt,2026-07-19 01:56:33,2026-07-19 01:56:34,Normal
MOCK_DATA.csv,.csv,62508,61.04,0.06,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA.csv,2026-07-19 01:55:44,2026-07-19 01:55:44,Normal
MOCK_DATA.json,.json,135281,132.11,0.13,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA.json,2026-07-19 01:55:52,2026-07-19 01:55:52,Normal
MOCK_DATA.sql,.sql,164245,160.4,0.16,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA.sql,2026-07-19 01:56:07,2026-07-19 01:56:08,Normal
MOCK_DATA.txt,.txt,62564,61.1,0.06,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA.txt,2026-07-19 01:56:00,2026-07-19 01:56:00,Normal
MOCK_DATA.xlsx,.xlsx,59913,58.51,0.06,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA.xlsx,2026-07-19 01:56:38,2026-07-19 01:56:39,Normal
MOCK_DATA.xml,.xml,136373,133.18,0.13,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\MOCK_DATA.xml,2026-07-19 01:56:46,2026-07-19 01:56:47,Normal
PrinceCatalogue.pdf,.pdf,6382133,6232.55,6.09,Sample_Files,C:\Users\relax\Desktop\Business-Automation-Portfolio\01_File_Inventory_Reporter\Sample_Files\PrinceCatalogue.pdf,2026-07-19 01:58:23,2026-07-19 01:58:23,Normal
